"시장구분","종목코드","종목명","산업분류","현재가(종가)","전일대비","시가총액(원)"
"코스피","005930","삼성전자","전기전자",56300,-400,336098757565000
"코스피","000660","SK하이닉스","전기전자",93000,200,67704219945000
"코스피","005935","삼성전자우","전기전자",46700,200,38428808890000
"코스피","035420","NAVER","서비스업",178500,-2000,29419191007500
"코스피","005380","현대차","운수장비",123000,1000,26281187001000
"코스피","207940","삼성바이오로직스","의약품",394500,-500,26102092500000
"코스피","012330","현대모비스","운수장비",267000,3500,25446887298000
"코스피","068270","셀트리온","의약품",177500,-1500,22779968907500
"코스피","051910","LG화학","화학",307000,1500,21671849301000
"코스피","005490","POSCO","철강금속",248500,1000,21665928497500
"코스피","055550","신한지주","금융업",45300,950,21481241291100
"코스피","105560","KB금융","금융업",49400,1450,20654709927800
"코스피","051900","LG생활건강","화학",1269000,-10000,19819491993000
"코스피","017670","SK텔레콤","통신업",242000,1500,19540462062000
"코스피","028260","삼성물산","유통업",103000,0,19538074429000
"코스피","000270","기아차","운수장비",45250,600,18342691451750
"코스피","034730","SK","금융업",256500,0,18047416180500
"코스피","015760","한국전력","전기가스업",28100,550,18039190563700
"코스피","006400","삼성SDI","전기전자",227000,-7500,15609548310000
"코스피","032830","삼성생명","금융업",76200,-200,1.524e+13
"코스피","018260","삼성에스디에스","서비스업",194500,-500,15049982100000
"코스피","096770","SK이노베이션","화학",149500,500,13823601818000
"코스피","033780","KT&G","기타제조",97000,700,13317372209000
"코스피","035720","카카오","서비스업",151000,500,13018272626000
"코스피","003550","LG","금융업",74500,-300,12855506259500
"코스피","000810","삼성화재","금융업",252000,500,11938458924000
"코스피","036570","엔씨소프트","서비스업",541000,2000,11877125902000
"코스피","066570","LG전자","전기전자",72500,100,11864466515000
"코스피","090430","아모레퍼시픽","화학",198000,4000,11574781020000
"코스피","086790","하나금융지주","금융업",38400,900,11529295180800
"코스피","010950","S-Oil","화학",96500,1000,10864239428000
"코스피","009150","삼성전기","전기전자",118500,-1000,8851202976000
"코스피","009540","한국조선해양","운수장비",124000,-1500,8775866384000
"코스피","316140","우리금융지주","금융업",11900,50,8594985427700
"코스피","010130","고려아연","철강금속",427000,-4000,8.05749e+12
"코스피","011170","롯데케미칼","화학",228500,0,7831933241500
"코스피","251270","넷마블","서비스업",90100,-600,7725461599200
"코스닥","091990","셀트리온헬스케어","유통",51100,200,7354723252800
"코스피","024110","기업은행","금융업",12400,150,7156746539600
"코스피","030200","KT","통신업",26950,-250,7036963225600
"코스피","021240","웅진코웨이","서비스업",92800,2900,6848604643200
"코스피","002790","아모레G","화학",81000,500,6679112580000
"코스피","035250","강원랜드","서비스업",29900,-200,6396820950000
"코스피","032640","LG유플러스","통신업",14250,50,6221711894250
"코스피","018880","한온시스템","기계",11200,-50,5.97856e+12
"코스피","034220","LG디스플레이","전기전자",16150,-200,5778723555000
"코스피","267250","현대중공업지주","화학",350000,6500,5700315950000
"코스피","086280","현대글로비스","운수창고업",146000,-500,5.475e+12
"코스피","006800","미래에셋대우","금융업",7620,-20,5016371028960
"코스피","029780","삼성카드","금융업",41650,1200,4825522810150
"코스피","078930","GS","금융업",51800,-300,4813016580400
"코스피","000720","현대건설","건설업",42300,-150,4710348859500
"코스피","010140","삼성중공업","운수장비",7160,30,4.5108e+12
"코스피","004020","현대제철","철강금속",32150,-300,4290281987750
"코스피","161390","한국타이어앤테크놀로지","화학",34450,350,4267496127050
"코스닥","028300","에이치엘비","운송장비·부품",99000,-600,4231152882000
"코스피","088980","맥쿼리인프라","금융업",11850,-100,4136175381600
"코스피","005830","DB손해보험","금융업",58400,800,4.13472e+12
"코스피","271560","오리온","음식료품",103500,-1500,4091989662000
"코스피","004990","롯데지주","금융업",38050,100,3991796467850
"코스피","071050","한국금융지주","금융업",70900,-1000,3950972832800
"코스피","023530","롯데쇼핑","유통업",137000,1000,3875559435000
"코스피","028050","삼성엔지니어링","서비스업",19200,200,3.7632e+12
"코스피","139480","이마트","유통업",132000,500,3679608108000
"코스피","005940","NH투자증권","금융업",13000,-100,3658315531000
"코스피","012750","에스원","서비스업",96100,200,3651721005800
"코스피","097950","CJ제일제당","음식료품",242000,-7000,3643113012000
"코스피","036460","한국가스공사","전기가스업",38500,100,3554050500000
"코스피","000120","CJ대한통운","운수창고업",152000,-500,3467476288000
"코스피","128940","한미약품","의약품",298000,3000,3460430832000
"코스피","016360","삼성증권","금융업",38200,-150,3.41126e+12
"코스닥","035760","CJ ENM","통신방송서비스",155400,-500,3407790531600
"코스피","241560","두산밥캣","기계",33600,50,3368371977600
"코스피","008770","호텔신라","유통업",85800,400,3367488781800
"코스피","047810","한국항공우주","운수장비",34050,-300,3319027393350
"코스피","081660","휠라코리아","유통업",51900,600,3171872133000
"코스피","000210","대림산업","건설업",89300,-400,3.10764e+12
"코스피","011070","LG이노텍","전기전자",129500,-2000,3064890356500
"코스피","005387","현대차2우B","운수장비",83200,1100,3035589523200
"코스피","007070","GS리테일","유통업",39300,1300,3.0261e+12
"코스피","000100","유한양행","의약품",236000,0,3015399140000
"코스피","009830","한화케미칼","화학",18650,-200,3011588758500
"코스피","042660","대우조선해양","운수장비",27700,-350,2969599330400
"코스피","003670","포스코케미칼","비금속광물",47950,-1150,2924385149000
"코스피","003410","쌍용양회","비금속광물",5630,-30,2836729519850
"코스피","004170","신세계","유통업",287000,-5000,2825566947000
"코스피","030000","제일기획","서비스업",24350,50,2801253828750
"코스피","282330","BGF리테일","유통업",161000,1000,2782708866000
"코스피","001040","CJ","금융업",94900,-2000,2768897110200
"코스피","003490","대한항공","운수창고업",27750,-100,2631938593500
"코스피","001450","현대해상","금융업",29150,600,2.60601e+12
"코스피","138930","BNK금융지주","금융업",7820,60,2548813623720
"코스피","006360","GS건설","건설업",31100,150,2485647844800
"코스피","002380","KCC","화학",232000,-500,2449111016000
"코스피","008930","한미사이언스","금융업",37700,350,2440805822000
"코스피","079440","오렌지라이프","금융업",29500,750,2.419e+12
"코스닥","263750","펄어비스","IT S/W & SVC",184500,-4500,2402743500000
"코스피","047050","포스코인터내셔널","유통업",19350,-250,2387309133150
"코스피","028670","팬오션","운수창고업",4450,-5,2378832971150
"코스피","008560","메리츠종금증권","금융업",3850,-40,2376646198850
"코스피","011780","금호석유","화학",78000,-500,2376479898000
"코스피","180640","한진칼","운수창고업",39650,-850,2346108659700
"코스피","012510","더존비즈온","서비스업",75100,-1400,2228419770000
"코스닥","253450","스튜디오드래곤","오락·문화",76300,-900,2143753031000
"코스피","000060","메리츠화재","금융업",18850,300,2.142868e+12
"코스피","088350","한화생명","금융업",2370,0,2058416100000
"코스닥","036490","SK머티리얼즈","IT H/W",191300,800,2017769844900
"코스피","007310","오뚜기","음식료품",552000,4000,1990090824000
"코스닥","032500","케이엠더블유","IT H/W",49450,-200,1968271998200
"코스피","000080","하이트진로","음식료품",28000,950,1963741108000
"코스피","069960","현대백화점","유통업",82500,-100,1930701382500
"코스닥","145020","휴젤","제약",374100,-15900,1915304086500
"코스피","047040","대우건설","건설업",4600,15,1911864134800
"코스피","017800","현대엘리베이","기계",69600,1300,1893073646400
"코스피","000880","한화","화학",25050,-150,1877716311750
"코스피","010620","현대미포조선","운수장비",46500,300,1857309928500
"코스피","051600","한전KPS","건설업",40800,1550,1.836e+12
"코스피","020150","일진머티리얼즈","전기전자",39800,-750,1835211233000
"코스피","005385","현대차우","운수장비",75300,1400,1834058380500
"코스피","012450","한화에어로스페이스","운수장비",35300,-850,1.820068e+12
"코스피","009420","한올바이오파마","의약품",34500,-100,1802302011000
"코스피","026960","동서","유통업",18050,100,1.799585e+12
"코스닥","084990","헬릭스미스","기타서비스",83200,-700,1781735321600
"코스피","011790","SKC","화학",47400,-1400,1779137907000
"코스닥","086900","메디톡스","제약",299000,-2800,1738711910000
"코스닥","034230","파라다이스","오락·문화",18950,-350,1723363634400
"코스닥","240810","원익IPS","IT H/W",35000,-700,1717936535000
"코스피","039490","키움증권","금융업",77700,-600,1717149798000
"코스피","004800","효성","금융업",81300,-600,1713074332500
"코스피","138040","메리츠금융지주","금융업",12100,-100,1696714199400
"코스피","204320","만도","운수장비",35700,-350,1676369184000
"코스피","010120","LS산전","전기전자",54400,-100,1.632e+12
"코스피","007700","F&F","섬유의복",105000,-1500,1.617e+12
"코스닥","056190","에스에프에이","기계·장비",44850,0,1610507886000
"코스피","051905","LG생활건강우","화학",759000,7000,1593670023000
